"Save card","Sauvegarder ma carte"
"Ending in <strong>%s</strong>","Finissant par <strong>%s</strong>"
"New card","Nouvelle carte"
"There was an error validating your card. Please try again.","Une erreur s'est produite durant la validation de votre carte. Veuillez réessayer."

"Order ID","Numéro de commande"
"Date","Date"
"Code","Code"
"Message","Message"
"Card Type","Type de carte"
"Last 4","Derniers 4 chiffres"
"Amount","Montant"
"Failed Stripe Orders","Commandes Stripe en erreur"
"There was an error validating your card. Please try again.","Il y a eu une erreur lors de la validation de votre carte. Veuillez essayer à nouveau."
"Invalid token. Please try again.","Token invalide. Veuillez essayer à nouveau."
"Could not save card","Impossible de sauvegarder la carte."
"Last 4 Digits","Derniers 4 chiffres"
"Expiry Date","Date expiration"
"Security Checks","Vérification de sécurité"
"CVC","CVC"
"Card Number","Numéro de carte"
"Choose card","Choississez une carte"
"New card","Nouvelle carte"
"Save card","Sauvegarder la carte"
"My Credit Cards","Mes cartes de paiement"
"Could not capture payment","Impossible de capturer le paiement."

"Your card has expired.","Votre carte a expiré."
"Your card's security code is incorrect.","Code de sécurité de votre carte incorrect."
"Your card was declined.","Votre carte a été déclinée."
"An error occurred while processing your card. Try again in a little bit.","Une erreur est survenue pendant le traitement de votre paiement. Veuillez tenter l'opération à nouveau dans quelques instants."
